,Unnamed: 0,gene,assignedPhase,source
0,0,CDKN1B,G0,Tabula Sapiens v2
1,1,CDKN1C,G0,Tabula Sapiens v2
2,2,CDKN1A,G0,Tabula Sapiens v2
3,3,AFAP1,G1,Tabula Sapiens v2
4,4,ALKBH7,G1,Tabula Sapiens v2
5,5,AOC2,G1,Tabula Sapiens v2
6,6,DDX58,G1,Tabula Sapiens v2
7,7,ETV4,G1,Tabula Sapiens v2
8,8,FAM84B,G1,Tabula Sapiens v2
9,9,GSE1,G1,Tabula Sapiens v2
10,10,HIST2H2BE,G1,Tabula Sapiens v2
11,11,HORMAD1,G1,Tabula Sapiens v2
12,12,HSPA4,G1,Tabula Sapiens v2
13,13,IFIT2,G1,Tabula Sapiens v2
14,14,KMO,G1,Tabula Sapiens v2
15,15,MAP2K6,G1,Tabula Sapiens v2
16,16,NR2F6,G1,Tabula Sapiens v2
17,17,NXF1,G1,Tabula Sapiens v2
18,18,RPL37,G1,Tabula Sapiens v2
19,19,SLC1A3,G1,Tabula Sapiens v2
20,20,SORBS2,G1,Tabula Sapiens v2
21,21,TMED7,G1,Tabula Sapiens v2
22,22,XBP1,G1,Tabula Sapiens v2
23,23,XPR1,G1,Tabula Sapiens v2
24,24,ZCCHC14,G1,Tabula Sapiens v2
25,25,ZNF248,G1,Tabula Sapiens v2
26,26,ACD,G1/S,Tabula Sapiens v2
27,27,ACYP1,G1/S,Tabula Sapiens v2
28,28,ADAMTS1,G1/S,Tabula Sapiens v2
29,29,ANKRD10,G1/S,Tabula Sapiens v2
30,30,APEX2,G1/S,Tabula Sapiens v2
31,31,ARGLU1,G1/S,Tabula Sapiens v2
32,32,ATRIP,G1/S,Tabula Sapiens v2
33,33,BARD1,G1/S,Tabula Sapiens v2
34,34,BRD7,G1/S,Tabula Sapiens v2
35,37,CAPN7,G1/S,Tabula Sapiens v2
36,38,CASP8AP2,G1/S,Tabula Sapiens v2
37,39,CDC6,G1/S,Tabula Sapiens v2
38,40,CDCA7L,G1/S,Tabula Sapiens v2
39,41,CEP57,G1/S,Tabula Sapiens v2
40,42,CHAF1A,G1/S,Tabula Sapiens v2
41,43,CHAF1B,G1/S,Tabula Sapiens v2
42,44,CLSPN,G1/S,Tabula Sapiens v2
43,45,CTSD,G1/S,Tabula Sapiens v2
44,46,DIS3,G1/S,Tabula Sapiens v2
45,47,DNAH11,G1/S,Tabula Sapiens v2
46,48,DNAJC3,G1/S,Tabula Sapiens v2
47,49,E2F1,G1/S,Tabula Sapiens v2
48,50,E2F2,G1/S,Tabula Sapiens v2
49,51,EIF2A,G1/S,Tabula Sapiens v2
50,52,ESD,G1/S,Tabula Sapiens v2
51,54,FAM111B,G1/S,Tabula Sapiens v2
52,55,FAM122A,G1/S,Tabula Sapiens v2
53,56,FAM214A,G1/S,Tabula Sapiens v2
54,57,FLAD1,G1/S,Tabula Sapiens v2
55,58,GINS2,G1/S,Tabula Sapiens v2
56,59,GINS3,G1/S,Tabula Sapiens v2
57,60,GMNN,G1/S,Tabula Sapiens v2
58,61,HOXB4,G1/S,Tabula Sapiens v2
59,62,HRAS,G1/S,Tabula Sapiens v2
60,63,HSF2,G1/S,Tabula Sapiens v2
61,64,INSR,G1/S,Tabula Sapiens v2
62,65,KIAA1147,G1/S,Tabula Sapiens v2
63,66,KIAA1586,G1/S,Tabula Sapiens v2
64,67,LNPEP,G1/S,Tabula Sapiens v2
65,68,LUC7L3,G1/S,Tabula Sapiens v2
66,69,MBOAT1,G1/S,Tabula Sapiens v2
67,70,MCM2,G1/S,Tabula Sapiens v2
68,71,MCM5,G1/S,Tabula Sapiens v2
69,72,MDM1,G1/S,Tabula Sapiens v2
70,73,MED31,G1/S,Tabula Sapiens v2
71,74,MRI1,G1/S,Tabula Sapiens v2
72,75,MSH2,G1/S,Tabula Sapiens v2
73,76,NKTR,G1/S,Tabula Sapiens v2
74,77,NPAT,G1/S,Tabula Sapiens v2
75,78,NUP43,G1/S,Tabula Sapiens v2
76,79,ORC1,G1/S,Tabula Sapiens v2
