,0
0,HLA-DRB5
1,SAA1
2,ALB
3,VEGFA
4,THBD
5,SDS
6,SERPINB9
7,BASP1
8,MXD1
9,RPS4Y1
10,PTGS2
11,FPR3
12,HLA-DQB1
13,EREG
14,ARL4C
15,INSIG1
16,SATB1
17,NR4A3
18,CD93
19,OSM
20,RASSF5
21,HES1
22,PFKFB3
23,ADGRE2
24,G0S2
25,PDE4B
26,TNFSF13B
27,PPIF
28,GK
29,CD300E
30,HES4
31,CD48
32,NLRP3
33,DDIT4
34,ABCA1
35,MEF2C
36,DDX3Y
37,TTYH3
38,ITGA4
39,NRARP
40,VCAN
41,PRDM1
42,TET2
43,PRKCB
44,OTUD1
45,DUSP2
46,LILRB1
47,MT-ND6
48,FAM49A
49,LPCAT1
50,IL10
51,AC104695.4
52,SDC3
53,RB1
54,MTND5P32
55,HPS3
56,PAPSS2
57,HPD
58,RGS1
59,MALT1
60,CR1
61,TENT4B
62,C9orf72
63,AC016831.5
64,SLC7A5
65,SLC16A10
66,SEC14L1
67,LUCAT1
68,APOC3
69,NUP58
70,PEA15
71,STAB1
72,CHST15
73,HPSE
74,NBEAL1
75,FGL1
76,USP36
77,CSF3R
78,HLA-DQA1
79,RN7SL368P
80,AREG
81,CD36
82,RF00017-71
83,AC037198.1
84,LILRA5
85,SLC25A37
86,NDEL1
87,IFNAR2
88,LILRB2
89,RXRA
90,MT1G
91,SLC8A1
92,ETV3
93,RUNX3
94,RNASE2
95,PRCP
96,THAP9-AS1
97,BIRC3
98,PLXNC1
99,AMPD2
100,GZF1
101,PLAC8
102,C15orf48
103,MARCKSL1
104,ZMYM2
105,AC112496.1
106,YTHDF3
107,ID3
108,CMIP
109,SORL1
110,PRMT9
111,MERTK
112,HGSNAT
113,SLC40A1
114,AOAH
115,FCGR1A
116,SNAI1
117,RGS18
118,DENND3
119,LFNG
120,NFIL3
121,FCN1
122,SP3
123,IL1RN
124,RNF141
125,BMP2K
126,GASK1B
127,CDKN1B
128,EDEM1
129,SGPL1
130,CCL20
131,SMPDL3A
132,DUSP4
133,SELENOP
134,B4GALT5
135,DOCK5
136,CALHM6
137,AGO2
138,AC027290.2
139,SEMA6B
140,ENTPD1
141,ARL5B
142,SIGLEC10
143,VSIR
144,BCL2L11
145,AQP9
146,KCNMA1
147,ETV6
148,KCTD20
149,ENPP2
150,BCL3
151,ITPR2
152,ACKR3
153,SH3KBP1
154,NFAM1
155,MX2
156,OLFML2B
157,GPRIN3
158,MT1X
159,CUX1
160,PTPRJ
161,F13A1
162,MEF2D
163,SPATA13
164,IL6R
165,ST8SIA4
166,AD000864.1
167,RASSF3
168,CLEC11A
169,TTC19
170,ZSWIM6
171,ARHGAP4
172,ITPR1
173,TCF4
174,CSK
175,NAAA
176,PHF20L1
177,WARS
178,PYGL
179,CCL4
180,PRKAR2A
181,SH3BP2
182,RBM5
183,CCRL2
184,SLC16A7
185,LIMD2
186,ITGAV
187,SNHG15
188,FAM20A
189,INAFM2
190,DOCK10
191,BCL6
192,NRP1
193,HEATR3
194,FAM53C
195,SLC4A7
196,FPR2
197,CREBRF
198,CYTOR
199,TLE4
200,MED13L
201,CNEP1R1
202,CDK2AP1
203,IDH2
204,SFT2D2
205,WDFY3
206,WIPI1
207,SERINC5
208,GABARAP
209,MTHFD2
210,LENG8
211,TLE3
212,AKNA
213,FADS1
214,CERK
215,EHD1
216,VAMP5
217,TAGAP
218,ELF2
219,CYTIP
220,GALC
221,LBR
222,HERC1
223,TRPS1
224,OAZ2
225,ATXN1
226,POLE4
227,C1orf54
228,PLEKHA2
229,CREBL2
230,INPP4A
231,AC021078.1
232,SNX18
233,ITGAM
234,CHSY1
235,INPP5D
236,CHCHD7
237,SSH1
238,MAP3K1
239,AC009951.1
240,AZIN1-AS1
241,FBXO34
242,CLEC10A
243,OXSR1
244,MECP2
245,FAM129A
246,RHOU
247,RNMT
248,TMEM87B
249,WDR11
250,SLC39A8
251,ZMIZ1
252,GPR132
253,CYLD
254,WBP1L
255,GRASP
256,CKS2
257,CEMIP2
258,NEDD9
259,RP2
260,SECTM1
261,PPA1
262,FAM102B
263,RCOR1
264,TFDP1
265,CREB5
266,MTND2P28
267,ARHGAP26
268,CHPT1
269,JMY
270,ABCC5
271,ACLY
272,ARHGEF6
273,PAK1
274,CCNT1
275,ABI3
276,ETV5
277,NGLY1
