,0
0,SAA1
1,FGB
2,ALB
3,SERPINA1
4,FGA
5,SAA2
6,FGG
7,FGL1
8,CRP
9,HP
10,APOA2
11,C3
12,VTN
13,APOC3
14,AMBP
15,HPD
16,ORM1
17,APOH
18,MT2A
19,APOA1
20,RBP4
21,C1S
22,SPINK1
23,APOC1
24,TF
25,CYP2E1
26,NNMT
27,NFE2L2
28,ORM2
29,CLU
30,REL
31,SETX
32,APOB
33,NR4A2
34,TTR
35,CREM
36,HAMP
37,PTPRC
38,GC
39,C9
40,APOE
41,CD83
42,TAT
43,CFH
44,IRF8
45,KNG1
46,CP
47,MS4A1
48,CD37
49,ITIH3
50,ALDOB
51,CHD1
52,SERPING1
53,MAP3K8
54,CHD9
55,EML4
56,CEMIP2
57,PARP14
58,LAPTM5
59,SMIM14
60,AZGP1
61,DEK
62,RPS4Y1
63,CPS1
64,IFNGR1
65,IDI1
66,SLC2A3
67,ETS1
68,C6orf62
69,MT1G
70,AGXT
71,APCS
72,CYLD
73,C4BPA
74,PIK3R1
75,CD69
76,NR3C1
77,SCP2
78,HPX
79,SERPINC1
80,PHF20
81,VPS13C
82,MTND2P28
83,JMJD1C
84,STAT6
85,HLA-DPB1
86,LCP1
87,IL2RG
88,CYB5A
89,HLA-DRA
90,LTB
91,KDM6B
92,FABP1
93,GPR183
94,ARID1B
95,PDCD4
96,MBP
97,FN1
98,NR4A3
99,HIPK1
100,RNF19A
101,CREBRF
102,LNPEP
103,SELENOP
104,TXLNGY
105,LY9
106,DUSP2
107,SKIL
108,RUNX3
109,IFITM3
110,CYP3A4
111,DHCR24
112,HOPX
113,ZFP36L1
114,ALDH2
115,PDE7A
116,PIK3AP1
117,EVL
118,FOSL2
119,CNOT4
120,GPR65
121,SYPL1
122,RICTOR
123,ZFAS1
124,ZEB2
125,IFITM2
126,INO80D
127,HERC4
128,RALGAPA1
129,TOB2
130,ISG15
131,HMGCS1
132,PRR13
133,SORL1
134,NUB1
135,TRIM33
136,GAS5
137,PIP4K2A
138,CHURC1
139,IRF2BP2
140,SELL
141,CD52
142,SC5D
143,CMTM6
144,RORA
145,UTRN
146,SYTL3
147,FOXP1
148,ACAP1
149,LRRFIP1
150,ZDHHC21
151,KDM5B
152,HLA-DRB1
153,ABHD2
154,LITAF
155,FNBP1
156,USP36
157,HLA-DPA1
158,ZMYM2
159,NUTM2B-AS1
160,PTPN22
161,STOM
162,RAB11FIP1
163,ADD1
164,MACF1
165,PCSK7
166,BABAM2
167,LCOR
168,SETD2
169,ZBTB44
170,CTSD
171,SYS1
172,MED13
173,ZNF331
174,EXOSC6
175,IVNS1ABP
176,LYN
177,INPP5D
178,ZBTB20
179,CAT
180,S100A4
181,SFT2D2
182,AKIRIN1
183,CNOT6L
184,TRIM38
185,ZNF644
186,ODF2L
187,ARHGAP5
188,HLA-DMA
189,SSH2
190,ZBTB25
191,SNX2
192,BCL2
193,PDE4D
194,ITSN2
195,CDC42SE1
196,KLRD1
197,REST
198,TIPARP
199,TTC38
200,ANKRD44
201,LINC00513
202,GNG2
203,ARL4C
204,RAB29
205,HCG18
206,RASGEF1B
207,TDP2
208,UBE2R2
209,THUMPD3-AS1
210,RBM12
211,HTT
212,PRKD3
213,SDCBP
214,PCM1
215,RIOK3
216,ARID4B
217,WDR11
218,ASL
219,SP110
220,INTS6
221,PLEKHA2
222,PNRC2
223,ADAM28
224,NBEAL1
225,ITGB2
226,DDX3Y
227,PPM1K
228,REV3L
229,TRIM44
230,LAMP1
231,CD46
232,MECP2
233,USP33
234,IKZF1
235,JARID2
236,IL32
237,OFD1
238,OIP5-AS1
239,ADGRE5
240,RBL2
241,CCSER2
242,FYN
243,NUFIP2
244,PRKCB
245,ID2
246,PRKAR1A
247,AKNA
248,SERPINB1
249,CIB1
250,MT1X
251,CST7
252,KIDINS220
253,GNPTAB
254,RSF1
255,AC021078.1
256,FBXO33
257,CCL4
258,STX16
259,SNAP23
260,POLR2J3-1
261,NAMPT
262,RIDA
263,TOP2B
264,AC016831.5
265,RAP2C
266,AC010618.1
267,PLEK
268,GGNBP2
269,PRMT2
270,EPS15
271,FAM49B
272,FAM126B
273,KANSL1
274,KMT2A
275,RNMT
276,ZNF91
277,MTPN
278,CLEC2D
279,SLA
280,CELF1
281,CAND1
282,FRYL
283,ZNF638
284,ZBTB1
285,HLA-DOB
286,ZNF652
287,PLAC8
288,SERINC1
289,METRNL
290,WNK1
291,RARRES3
292,ACAA2
293,MOB4
294,NEMF
295,NFAT5
296,AAK1
297,SMARCA2
298,ATG12
299,LENG8
300,CDK13
301,NCBP2
302,DYNLL2
303,EFHD2
304,CLEC2B
305,SKAP2
306,PMAIP1
307,TSPYL2
308,CNPY3
309,NECAP1
310,ADAM17
311,CSNK1G3
312,PSMA3-AS1
313,CYB5B
314,KPNA4
315,RAB6A
316,MIA2
317,YIPF4
318,PPP4R3A
319,OTULIN
320,MTF2
321,ADD3
322,SS18
323,SNHG16
324,MARCH6
325,MYH9
326,SNX6
327,RTN4
328,SERPINB9
329,VPS13A
330,PPP3CA
331,STK17A
332,PTBP3
333,WDR82
334,CELF2
335,LEPROTL1
336,FTX
337,KHDC4
338,BDP1
339,PITHD1
340,LASP1
341,ARL6IP1
342,LRBA
343,LUC7L
344,GLUD1
345,BAZ1A
346,LDLR
347,KAT6B
348,UCP2
349,DCP1A
350,NABP1
351,ROCK1
352,DIAPH1
353,FBXO7
354,SPPL2A
355,TNFAIP8
356,CRTC3
357,ERBIN
358,BRAF
359,TRAF3IP3
360,KLHL24
361,BBX
362,ANKRD10
363,MPLKIP
364,ESF1
365,EBLN3P
366,HLA-F
367,AC058791.1
368,SLC39A14
369,TNFAIP3
370,SMG7
371,CDK17
372,ZNF148
373,TLE4
374,USP9X
375,SLC5A3
376,DOCK2
377,NBDY
378,WDR26
379,MCTP2
380,PTEN
381,NUMB
382,TIPRL
383,S100A10
384,ZNF655
385,ARPC1B
386,CHD7
387,CTNNB1
388,NDUFAF1
389,KAT6A
390,HERC1
391,PHF6
392,MARCH7
393,SMG1
394,DYNLT1
395,STMP1
396,ABHD17A
397,DBNL
398,IER5
399,GPSM3
400,MAP3K2
401,SFSWAP
402,LEPROT
403,NCSTN
404,TANK
405,SHPRH
406,ATF7IP2
407,HIF1A
408,CLIP1
409,UBE2Z
410,FLNA
411,SRSF1
412,CHD4
413,HCST
414,CMC1
415,IGHM
416,TIMP1
417,SCGB3A1
418,WFDC2
419,LCN2
420,S100A8
421,S100A9
422,LY96
423,BPIFA1
424,S100A11
425,HLA-DOB
426,CXCL8
427,IL2RG
428,TAGAP
429,BPIFB1
430,CTHRC1
431,AGR2
432,CSF3R
433,IFITM2
434,SLPI
435,FOSB
436,FTH1P10
437,G0S2
438,RGCC
439,TMEM190
440,NME4
441,HLA-DMA
442,IGLV3-1
443,S100P
444,C3
445,S100A2
446,SYNGR1
447,TFF3
448,QPRT
449,BRSK1
450,TSPAN13
451,SERPINA1
452,LINC02362
453,AC144530.1
454,GPR183
455,KRT17
456,SMIM25
457,SCNN1B
458,HSPA1A
459,PRR34-AS1
460,CERCAM
461,LY9
462,SERPINB9
463,AC058791.1
464,SIK1
465,TAPBPL
466,KDELR3
467,PTP4A3
468,JSRP1
469,FCGRT
470,CD177
471,IGFLR1
472,IGLV6-57
473,GADD45A
474,PAIP2B
475,CPQ
476,SERPINI1
477,KRT19
478,LST1
479,HSPB1
480,MIR155HG
481,COPZ2
482,TCN2
483,AC104699.1
484,AC074212.1
485,PFKFB3
486,STAP1
487,ADAM28
