Gene name,Gene stable ID version,Human gene stable ID,Human gene name
mt-Cytb,ENSMUSG00000064370.1,ENSG00000198727,MT-CYB
mt-Nd6,ENSMUSG00000064368.1,ENSG00000198695,MT-ND6
mt-Nd5,ENSMUSG00000064367.1,ENSG00000198786,MT-ND5
mt-Nd4,ENSMUSG00000064363.1,ENSG00000198886,MT-ND4
mt-Nd4l,ENSMUSG00000065947.3,ENSG00000212907,MT-ND4L
mt-Nd3,ENSMUSG00000064360.1,ENSG00000198840,MT-ND3
mt-Co3,ENSMUSG00000064358.1,ENSG00000198938,MT-CO3
mt-Atp6,ENSMUSG00000064357.1,ENSG00000198899,MT-ATP6
mt-Atp8,ENSMUSG00000064356.3,ENSG00000228253,MT-ATP8
mt-Co2,ENSMUSG00000064354.1,ENSG00000198712,MT-CO2
mt-Co1,ENSMUSG00000064351.1,ENSG00000198804,MT-CO1
mt-Nd2,ENSMUSG00000064345.1,ENSG00000198763,MT-ND2
mt-Nd1,ENSMUSG00000064341.1,ENSG00000198888,MT-ND1
Gm24616,ENSMUSG00000065208.1,ENSG00000263776,SNORA4
Gm24261,ENSMUSG00000065678.1,ENSG00000206888,RNU6-48P
Mir450-2,ENSMUSG00000076399.1,ENSG00000207755,MIR450A2
Actl10,ENSMUSG00000078129.3,ENSG00000182584,ACTL10
Gm26478,ENSMUSG00000084560.1,ENSG00000201231,RNU4-50P
Gm25884,ENSMUSG00000088407.1,ENSG00000239007,RNU7-95P
Mir221,ENSMUSG00000065422.1,ENSG00000207870,MIR221
Gm25670,ENSMUSG00000095059.1,ENSG00000199468,RNU6-556P
Gm25334,ENSMUSG00000088661.1,ENSG00000201894,RNU6-967P
Mir29b-1,ENSMUSG00000065604.2,ENSG00000283797,MIR29B1
Gm22730,ENSMUSG00000088710.1,ENSG00000252491,RNU1-142P
Gm24775,ENSMUSG00000088002.1,ENSG00000201308,RNU6-512P
Gm22035,ENSMUSG00000087909.1,ENSG00000276626,7SK
Mir671,ENSMUSG00000076387.1,ENSG00000284191,MIR671
Gm23587,ENSMUSG00000088283.1,ENSG00000252137,RNU6-1338P
Gm23587,ENSMUSG00000088283.1,ENSG00000222338,RNU6-174P
Gm22836,ENSMUSG00000089066.1,ENSG00000252934,RNU7-172P
Gm22321,ENSMUSG00000087777.1,ENSG00000202051,RNU6-382P
Gm23738,ENSMUSG00000064762.1,ENSG00000200807,RNU1-32P
Gm23411,ENSMUSG00000096804.1,ENSG00000239007,RNU7-95P
Gm24253,ENSMUSG00000065635.1,ENSG00000274091,SNORD1C
Gm24718,ENSMUSG00000088146.1,ENSG00000252906,SCARNA3
Mir433,ENSMUSG00000070072.1,ENSG00000207569,MIR433
Gm24200,ENSMUSG00000064889.1,ENSG00000199892,RNU1-17P
Mir708,ENSMUSG00000076143.1,ENSG00000211997,MIR708
Gm26922,ENSMUSG00000064621.1,ENSG00000201036,AL132709.2
Gm26922,ENSMUSG00000064621.1,ENSG00000200150,AL132709.1
Gm23250,ENSMUSG00000088069.1,ENSG00000252704,RN7SKP277
Gm25771,ENSMUSG00000089190.1,ENSG00000212228,AC009121.2
Mir431,ENSMUSG00000070080.1,ENSG00000208001,MIR431
Gm26091,ENSMUSG00000084653.1,ENSG00000238680,RNU6-1037P
Gm26312,ENSMUSG00000088394.1,ENSG00000202313,RNU1-64P
Gm25141,ENSMUSG00000065111.1,ENSG00000252035,RNU6-397P
Gm25913,ENSMUSG00000088242.1,ENSG00000251992,SCARNA17
Gm25569,ENSMUSG00000087800.1,ENSG00000212228,AC009121.2
Gm24734,ENSMUSG00000089485.1,ENSG00000252827,RN7SKP11
Mir186,ENSMUSG00000065431.1,ENSG00000207721,MIR186
Mir218-2,ENSMUSG00000065583.1,ENSG00000207739,MIR218-2
Gm24384,ENSMUSG00000084642.1,ENSG00000222761,RNU6-684P
Gm22205,ENSMUSG00000084604.1,ENSG00000202293,SNORD114-22
Gm22205,ENSMUSG00000084604.1,ENSG00000272344,SNORD114-21
Gm22205,ENSMUSG00000084604.1,ENSG00000200636,SNORD114-27
Gm22205,ENSMUSG00000084604.1,ENSG00000201240,SNORD114-9
Gm22205,ENSMUSG00000084604.1,ENSG00000201899,SNORD114-24
Gm22783,ENSMUSG00000077277.1,ENSG00000201813,RNU6-915P
Gm24439,ENSMUSG00000088519.1,ENSG00000200191,U8
Rnu3b3,ENSMUSG00000104856.1,ENSG00000238297,U3
Rnu3b3,ENSMUSG00000104856.1,ENSG00000221633,U3
Rnu3b3,ENSMUSG00000104856.1,ENSG00000221400,SNORD3J
Snora23,ENSMUSG00000064451.1,ENSG00000201998,SNORA23
Gm49799,ENSMUSG00000088022.1,ENSG00000251982,RN7SKP43
Gm23618,ENSMUSG00000094438.1,ENSG00000212428,AC124303.1
Gm23618,ENSMUSG00000094438.1,ENSG00000212528,SNORD115-47
Gm24535,ENSMUSG00000065074.1,ENSG00000201273,RNU6-776P
Gm24535,ENSMUSG00000065074.1,ENSG00000201919,RNU6-1022P
Gm24535,ENSMUSG00000065074.1,ENSG00000200152,RNU6-216P
Gm25267,ENSMUSG00000089147.1,ENSG00000239007,RNU7-95P
Gm24943,ENSMUSG00000088954.1,ENSG00000277209,RPPH1
Gm23787,ENSMUSG00000084487.1,ENSG00000199942,SNORD114-19
Gm23787,ENSMUSG00000084487.1,ENSG00000202270,SNORD114-12
Gm23442,ENSMUSG00000064853.1,ENSG00000200816,SNORA38
Mirlet7c-2,ENSMUSG00000065608.1,ENSG00000283990,MIRLET7A3
Gm25609,ENSMUSG00000077207.1,ENSG00000251907,RNU6-240P
Gm22519,ENSMUSG00000088895.1,ENSG00000221420,SNORA81
Mir488,ENSMUSG00000070103.2,ENSG00000202609,MIR488
Gm24437,ENSMUSG00000088517.1,ENSG00000200424,RNU6-1155P
Mir106b,ENSMUSG00000065514.1,ENSG00000208036,MIR106B
Gm23201,ENSMUSG00000077565.1,ENSG00000212304,SNORD12
Snord89,ENSMUSG00000077704.1,ENSG00000212283,SNORD89
Gm24456,ENSMUSG00000065132.1,ENSG00000206718,RNU6-546P
Gm24456,ENSMUSG00000065132.1,ENSG00000202398,RNU6-61P
Gm27617,ENSMUSG00000098696.1,ENSG00000278333,AC022028.3
Gm24072,ENSMUSG00000094408.1,ENSG00000252545,RNU6-362P
Gm22193,ENSMUSG00000080518.1,ENSG00000221514,SNORD111B
Gm23655,ENSMUSG00000084576.1,ENSG00000252643,RNU6-1136P
Gm22733,ENSMUSG00000088719.1,ENSG00000200902,RNU6-627P
Mir30c-2,ENSMUSG00000065567.1,ENSG00000199094,MIR30C2
Gm25934,ENSMUSG00000094476.1,ENSG00000212428,AC124303.1
Gm25934,ENSMUSG00000094476.1,ENSG00000212528,SNORD115-47
Gm24316,ENSMUSG00000096731.1,ENSG00000207019,RNU6-167P
Gm23448,ENSMUSG00000094214.1,ENSG00000212457,RNU6-644P
Gm26326,ENSMUSG00000065004.1,ENSG00000202283,AL591387.1
Gm26326,ENSMUSG00000065004.1,ENSG00000201827,AC022296.1
Gm23712,ENSMUSG00000095112.1,ENSG00000207360,RNU6-14P
Snord23,ENSMUSG00000080478.1,ENSG00000221803,SNORD23
Gm27326,ENSMUSG00000098813.1,ENSG00000252699,SNORA21B
Gm26439,ENSMUSG00000064526.1,ENSG00000200560,RNU6-288P
Gm27580,ENSMUSG00000098669.1,ENSG00000277653,AL354709.2
Gm22575,ENSMUSG00000064915.1,ENSG00000206733,RNU6-641P
Gm24339,ENSMUSG00000077394.1,ENSG00000199894,AC093872.1
Gm24339,ENSMUSG00000077394.1,ENSG00000199231,AC069285.1
Gm27521,ENSMUSG00000098261.1,ENSG00000239007,RNU7-95P
Gm26466,ENSMUSG00000095713.1,ENSG00000212428,AC124303.1
Gm26466,ENSMUSG00000095713.1,ENSG00000212528,SNORD115-47
Gm25878,ENSMUSG00000077515.1,ENSG00000209042,SNORD12C
Gm22392,ENSMUSG00000094551.1,ENSG00000206992,RNU6-574P
Gm22498,ENSMUSG00000077685.1,ENSG00000212498,SNORD86
Gm24457,ENSMUSG00000065130.1,ENSG00000201524,RNU6-450P
Gm22615,ENSMUSG00000094815.1,ENSG00000207503,AP001610.1
Gm22615,ENSMUSG00000094815.1,ENSG00000206799,SNORA32
Gm22615,ENSMUSG00000094815.1,ENSG00000206776,AC021733.1
Gm22615,ENSMUSG00000094815.1,ENSG00000201384,AC007375.1
Gm25780,ENSMUSG00000084477.1,ENSG00000223202,RN7SKP297
Gm25780,ENSMUSG00000084477.1,ENSG00000201912,RN7SKP189
Gm25780,ENSMUSG00000084477.1,ENSG00000200472,RN7SKP44
Gm22486,ENSMUSG00000080465.1,ENSG00000208772,SNORD94
Gm22967,ENSMUSG00000088581.1,ENSG00000252879,RN7SKP98
DQ267100,ENSMUSG00000084549.1,ENSG00000201036,AL132709.2
DQ267100,ENSMUSG00000084549.1,ENSG00000200150,AL132709.1
Gm23690,ENSMUSG00000064970.1,ENSG00000207104,RNU6-434P
Gm23000,ENSMUSG00000087708.1,ENSG00000200204,RNU1-22P
Snora81,ENSMUSG00000087935.1,ENSG00000221420,SNORA81
Mir185,ENSMUSG00000065464.2,ENSG00000208023,MIR185
Gm26284,ENSMUSG00000094048.1,ENSG00000212428,AC124303.1
Gm26284,ENSMUSG00000094048.1,ENSG00000212528,SNORD115-47
Mir133a-1,ENSMUSG00000065399.2,ENSG00000283927,MIR133A1
Gm24211,ENSMUSG00000088889.1,ENSG00000206926,RNU6-1024P
Gm26249,ENSMUSG00000080358.1,ENSG00000252118,RNU6ATAC39P
Gm26027,ENSMUSG00000084674.1,ENSG00000200379,RN7SKP45
Gm26027,ENSMUSG00000084674.1,ENSG00000223190,RN7SKP100
Gm24262,ENSMUSG00000088056.1,ENSG00000212228,AC009121.2
Gm22817,ENSMUSG00000088073.1,ENSG00000252350,RPPH1-3P
Gm24459,ENSMUSG00000064664.1,ENSG00000222736,RNU4-6P
1600017P15Rik,ENSMUSG00000065361.1,ENSG00000277925,Telomerase-vert
Gm25394,ENSMUSG00000087963.1,ENSG00000239183,SNORA84
Gm23453,ENSMUSG00000065260.1,ENSG00000202016,RNU6-619P
Gm23922,ENSMUSG00000095418.1,ENSG00000212428,AC124303.1
Gm23922,ENSMUSG00000095418.1,ENSG00000212528,SNORD115-47
Gm23330,ENSMUSG00000096211.1,ENSG00000207322,RNU1-89P
Gm25793,ENSMUSG00000065221.1,ENSG00000202245,RNU6-728P
Snord1b,ENSMUSG00000077604.1,ENSG00000274091,SNORD1C
Gm23454,ENSMUSG00000065266.1,ENSG00000280498,SNORA16A
Gm23454,ENSMUSG00000065266.1,ENSG00000201544,SNORA16B
Gm23454,ENSMUSG00000065266.1,ENSG00000201467,AL732371.1
Snord15a,ENSMUSG00000065822.1,ENSG00000206941,SNORD15A
Gm22897,ENSMUSG00000106272.1,ENSG00000281159,AC112786.1
Gm23973,ENSMUSG00000065254.1,ENSG00000201423,RN7SKP246
Mir124a-2,ENSMUSG00000093073.1,ENSG00000207816,MIR124-2
Gm25217,ENSMUSG00000088172.1,ENSG00000253003,RNU6-1261P
Gm25664,ENSMUSG00000088322.1,ENSG00000251908,RNU6-491P
Gm24783,ENSMUSG00000088264.1,ENSG00000199594,RNU6-1301P
Gm28006,ENSMUSG00000098986.1,ENSG00000278144,AP000944.4
Gm22056,ENSMUSG00000065320.1,ENSG00000222777,RNU6-233P
Mir208b,ENSMUSG00000077928.1,ENSG00000215991,MIR208B
Gm23921,ENSMUSG00000092999.1,ENSG00000199546,Y_RNA
Gm23921,ENSMUSG00000092999.1,ENSG00000201371,Y_RNA
Mir342,ENSMUSG00000065436.1,ENSG00000199082,MIR342
Gm25982,ENSMUSG00000088545.1,ENSG00000252081,RNU6-277P
Gm22087,ENSMUSG00000088964.1,ENSG00000252494,RNU6-126P
Gm22988,ENSMUSG00000084708.1,ENSG00000212228,AC009121.2
Gm27640,ENSMUSG00000098948.1,ENSG00000276664,AC004542.5
Mir19a,ENSMUSG00000065416.1,ENSG00000284204,MIR19A
Gm25588,ENSMUSG00000064435.1,ENSG00000202434,AC010746.1
Gm25588,ENSMUSG00000064435.1,ENSG00000201133,AC004830.1
Gm22345,ENSMUSG00000084593.1,ENSG00000222890,RNU6-1068P
Gm22640,ENSMUSG00000094847.1,ENSG00000212428,AC124303.1
Gm22640,ENSMUSG00000094847.1,ENSG00000212528,SNORD115-47
Mir365-1,ENSMUSG00000065449.1,ENSG00000199130,MIR365A
Mir181b-1,ENSMUSG00000065458.1,ENSG00000207975,MIR181B1
Gm25194,ENSMUSG00000095945.1,ENSG00000212428,AC124303.1
Gm25194,ENSMUSG00000095945.1,ENSG00000212528,SNORD115-47
Gm22987,ENSMUSG00000084706.1,ENSG00000222664,RN7SKP123
Gm22987,ENSMUSG00000084706.1,ENSG00000222460,RN7SKP271
Gm22378,ENSMUSG00000088106.1,ENSG00000200250,RNU6-1147P
Gm25809,ENSMUSG00000084738.2,ENSG00000221241,SNORD88A
Gm25202,ENSMUSG00000064772.1,ENSG00000222985,RNU2-14P
Gm25202,ENSMUSG00000064772.1,ENSG00000222627,RNU2-37P
Gm25202,ENSMUSG00000064772.1,ENSG00000222724,RNU2-63P
Gm26138,ENSMUSG00000096195.1,ENSG00000206772,RNU6-44P
Gm24076,ENSMUSG00000088804.1,ENSG00000251923,RNU6-276P
Gm23887,ENSMUSG00000084632.1,ENSG00000222357,RNU2-20P
Gm26296,ENSMUSG00000095792.1,ENSG00000239007,RNU7-95P
Gm22600,ENSMUSG00000088223.1,ENSG00000201161,RN7SKP10
Gm24263,ENSMUSG00000096249.1,ENSG00000200732,RNU6-194P
Gm23509,ENSMUSG00000065014.1,ENSG00000200340,RNU1-105P
Gm24313,ENSMUSG00000064495.1,ENSG00000206838,SNORA5A
Gm22068,ENSMUSG00000096205.1,ENSG00000200903,RNU1-42P
Mir652,ENSMUSG00000076011.1,ENSG00000208013,MIR652
Mir29a,ENSMUSG00000065610.1,ENSG00000284032,MIR29A
Gm23370,ENSMUSG00000106307.1,ENSG00000281394,SCARNA4
Gm23370,ENSMUSG00000106307.1,ENSG00000280466,SCARNA4
Gm22334,ENSMUSG00000088695.1,ENSG00000278010,SNORA70
Gm22334,ENSMUSG00000088695.1,ENSG00000252014,SNORA70
Gm22334,ENSMUSG00000088695.1,ENSG00000252199,SNORA70
Gm22334,ENSMUSG00000088695.1,ENSG00000252724,CR769767.2
Gm22334,ENSMUSG00000088695.1,ENSG00000252133,SNORA70
Gm22334,ENSMUSG00000088695.1,ENSG00000276094,SNORA70
Gm22055,ENSMUSG00000065322.1,ENSG00000222327,RNU6-855P
Gm25969,ENSMUSG00000087791.1,ENSG00000252762,AC021863.1
Gm23658,ENSMUSG00000095097.1,ENSG00000207468,SNORA19
Gm22080,ENSMUSG00000088216.1,ENSG00000200799,RNU6-770P
Gm22511,ENSMUSG00000096041.1,ENSG00000212428,AC124303.1
Gm22511,ENSMUSG00000096041.1,ENSG00000212528,SNORD115-47
Gm24083,ENSMUSG00000092915.1,ENSG00000207605,MIR191
Gm22477,ENSMUSG00000084518.1,ENSG00000199683,RN7SKP185
Gm22477,ENSMUSG00000084518.1,ENSG00000275558,RN7SKP175
Gm22477,ENSMUSG00000084518.1,ENSG00000202473,RN7SKP81
Rprl2,ENSMUSG00000087775.1,ENSG00000252350,RPPH1-3P
Gm22155,ENSMUSG00000065770.1,ENSG00000206629,RNU1-63P
Mir511,ENSMUSG00000077897.1,ENSG00000207938,MIR511
Mir34a,ENSMUSG00000065493.1,ENSG00000284357,MIR34A
Gm22079,ENSMUSG00000088217.1,ENSG00000202431,RNU6-438P
Mir377,ENSMUSG00000065438.2,ENSG00000199015,MIR377
Gm23102,ENSMUSG00000065658.1,ENSG00000207065,RNU5A-2P
Gm26265,ENSMUSG00000105690.1,ENSG00000206952,SNORA50A
Snord57,ENSMUSG00000065272.1,ENSG00000226572,SNORD57
Gm25128,ENSMUSG00000065273.1,ENSG00000201785,SNORD117
Gm25128,ENSMUSG00000065273.1,ENSG00000223294,SNORD83
Snord78,ENSMUSG00000077220.1,ENSG00000212168,AC073875.1
Mir216b,ENSMUSG00000076318.1,ENSG00000211520,MIR216B
Gm24916,ENSMUSG00000087912.1,ENSG00000238862,SNORD19B
Gm23975,ENSMUSG00000064619.1,ENSG00000207492,RNU6-713P
Mir129b,ENSMUSG00000106336.1,ENSG00000199077,MIR129-2
Gm22394,ENSMUSG00000093784.1,ENSG00000252200,AC243964.2
Gm22394,ENSMUSG00000093784.1,ENSG00000264452,AP001065.1
Snord61,ENSMUSG00000065110.4,ENSG00000206979,SNORD61
Gm23386,ENSMUSG00000089210.1,ENSG00000252409,AC099537.1
Gm26456,ENSMUSG00000064765.1,ENSG00000199546,Y_RNA
Gm26456,ENSMUSG00000064765.1,ENSG00000201371,Y_RNA
Gm25740,ENSMUSG00000094681.1,ENSG00000207214,RNU6-102P
Gm25722,ENSMUSG00000088123.1,ENSG00000223075,RN7SKP126
Gm25744,ENSMUSG00000092687.1,ENSG00000201823,SNORD48
Gm26059,ENSMUSG00000094364.1,ENSG00000212428,AC124303.1
Gm26059,ENSMUSG00000094364.1,ENSG00000212528,SNORD115-47
Gm23579,ENSMUSG00000089153.1,ENSG00000212359,RNU6-550P
Mir206,ENSMUSG00000065559.1,ENSG00000207604,MIR206
Gm24494,ENSMUSG00000065738.1,ENSG00000200422,AL590229.1
Gm24494,ENSMUSG00000065738.1,ENSG00000200706,AL033518.1
Gm24494,ENSMUSG00000065738.1,ENSG00000276643,AL627443.2
Gm22664,ENSMUSG00000089344.1,ENSG00000252963,RN7SKP147
Gm22664,ENSMUSG00000089344.1,ENSG00000251983,RN7SKP157
Gm26265,ENSMUSG00000065211.3,ENSG00000281910,SNORA50A
Gm25820,ENSMUSG00000105288.1,ENSG00000281159,AC112786.1
Gm25253,ENSMUSG00000094979.1,ENSG00000207332,RNU6-146P
Gm25253,ENSMUSG00000094979.1,ENSG00000252155,RNU6-941P
Gm25253,ENSMUSG00000094979.1,ENSG00000251819,RNU6-322P
Gm26124,ENSMUSG00000065293.1,ENSG00000199546,Y_RNA
Gm26124,ENSMUSG00000065293.1,ENSG00000201371,Y_RNA
Gm22649,ENSMUSG00000092875.2,ENSG00000240203,RN7SL567P
Gm23125,ENSMUSG00000088276.1,ENSG00000252599,RNU6-566P
Gm23125,ENSMUSG00000088276.1,ENSG00000253032,RNU6-299P
Gm22122,ENSMUSG00000092888.1,ENSG00000222501,RNU4-25P
Gm27899,ENSMUSG00000099106.1,ENSG00000276859,AL132655.7
Gm22215,ENSMUSG00000088183.1,ENSG00000223284,RNU6-195P
Gm25644,ENSMUSG00000065143.1,ENSG00000207267,RNU6-1081P
Mirlet7g,ENSMUSG00000065440.1,ENSG00000199150,MIRLET7G
Gm22435,ENSMUSG00000089177.1,ENSG00000200536,AL137790.1
Gm25135,ENSMUSG00000064582.1,ENSG00000223152,RNU4-88P
Gm23650,ENSMUSG00000065289.1,ENSG00000229686,SNORD56
Gm25204,ENSMUSG00000064777.1,ENSG00000206606,RNU6-1296P
Gm26440,ENSMUSG00000064525.1,ENSG00000201302,SNORA65
Gm26372,ENSMUSG00000088456.1,ENSG00000199622,RN7SKP20
Gm26049,ENSMUSG00000087938.1,ENSG00000207448,RNU6-520P
Gm26467,ENSMUSG00000095714.1,ENSG00000212428,AC124303.1
Gm26467,ENSMUSG00000095714.1,ENSG00000212528,SNORD115-47
Gm25814,ENSMUSG00000064688.1,ENSG00000199237,RNU6-834P
Gm22654,ENSMUSG00000088499.1,ENSG00000252839,RNU6-419P
Mir346,ENSMUSG00000065481.1,ENSG00000199104,MIR346
Gm27869,ENSMUSG00000098535.1,ENSG00000274491,AL132655.4
Snora62,ENSMUSG00000064925.1,ENSG00000201980,AC103710.1
Gm23103,ENSMUSG00000065659.1,ENSG00000223309,RNU6-722P
Gm26315,ENSMUSG00000065824.1,ENSG00000201793,RN7SKP9
Gm27993,ENSMUSG00000098423.1,ENSG00000276426,AC093298.1
Gm25337,ENSMUSG00000065657.1,ENSG00000207087,RNU6-242P
Gm24123,ENSMUSG00000077294.1,ENSG00000222365,SNORD12B
Mir410,ENSMUSG00000065497.1,ENSG00000199092,MIR410
Snora78,ENSMUSG00000089255.1,ENSG00000252119,AP002956.1
Snora78,ENSMUSG00000089255.1,ENSG00000273587,SNORA78
Snora78,ENSMUSG00000089255.1,ENSG00000239005,AC097376.1
Snora78,ENSMUSG00000089255.1,ENSG00000238685,AC092365.1
Snora78,ENSMUSG00000089255.1,ENSG00000239008,AL590031.1
Snora78,ENSMUSG00000089255.1,ENSG00000238934,AL591806.2
Rn7s1,ENSMUSG00000099021.1,ENSG00000276168,RN7SL1
Gm27285,ENSMUSG00000098825.1,ENSG00000275254,AC004386.4
Gm22259,ENSMUSG00000096863.1,ENSG00000252823,RNU6-148P
Ccl27a,ENSMUSG00000093828.7,ENSG00000213927,CCL27
Gm26461,ENSMUSG00000092805.2,ENSG00000276757,RN7SL192P
Gm26461,ENSMUSG00000092805.2,ENSG00000239964,RN7SL748P
Gm22225,ENSMUSG00000087983.1,ENSG00000223075,RN7SKP126
Gm27853,ENSMUSG00000098477.1,ENSG00000240199,RN7SL520P
Gm27853,ENSMUSG00000098477.1,ENSG00000266128,RN7SL366P
Gm25984,ENSMUSG00000096028.1,ENSG00000212428,AC124303.1
Gm25984,ENSMUSG00000096028.1,ENSG00000212528,SNORD115-47
Gm25862,ENSMUSG00000088875.1,ENSG00000278010,SNORA70
Gm25862,ENSMUSG00000088875.1,ENSG00000252014,SNORA70
Gm25862,ENSMUSG00000088875.1,ENSG00000252199,SNORA70
Gm25862,ENSMUSG00000088875.1,ENSG00000252724,CR769767.2
Gm25862,ENSMUSG00000088875.1,ENSG00000252133,SNORA70
Gm25862,ENSMUSG00000088875.1,ENSG00000276094,SNORA70
Gm23958,ENSMUSG00000087832.1,ENSG00000252931,RNU6-231P
Gm23958,ENSMUSG00000087832.1,ENSG00000207144,RNU6-1297P
Gm26017,ENSMUSG00000077597.1,ENSG00000252462,RNU6-113P
Gm23864,ENSMUSG00000093921.1,ENSG00000199697,RNU6-446P
Gm22989,ENSMUSG00000088938.1,ENSG00000252593,RNU6-1224P
Rnu1a1,ENSMUSG00000095969.1,ENSG00000200903,RNU1-42P
Snord49b,ENSMUSG00000064437.1,ENSG00000277108,SNORD49B
Gm22157,ENSMUSG00000089035.1,ENSG00000200484,RNU6-1244P
Gm22157,ENSMUSG00000089035.1,ENSG00000251957,RNU6-1095P
Gm25187,ENSMUSG00000065840.1,ENSG00000274309,SNORA71E
Gm22235,ENSMUSG00000087710.1,ENSG00000252725,RNU6-765P
Gm22980,ENSMUSG00000064542.1,ENSG00000207199,SNORD38D
Gm22980,ENSMUSG00000064542.1,ENSG00000281859,SNORD38B
Gm22980,ENSMUSG00000064542.1,ENSG00000207109,SNORD38C
Gm22980,ENSMUSG00000064542.1,ENSG00000252408,AC005787.1
Gm22980,ENSMUSG00000064542.1,ENSG00000200733,AL355821.1
Gm24623,ENSMUSG00000064550.1,ENSG00000222426,RNU2-50P
Gm22391,ENSMUSG00000094554.1,ENSG00000212428,AC124303.1
Gm22391,ENSMUSG00000094554.1,ENSG00000212528,SNORD115-47
Gm25585,ENSMUSG00000095402.1,ENSG00000212428,AC124303.1
Gm25585,ENSMUSG00000095402.1,ENSG00000212528,SNORD115-47
Scarna3b,ENSMUSG00000088158.1,ENSG00000252906,SCARNA3
Gm23287,ENSMUSG00000096280.1,ENSG00000199347,RNU5E-1
